tipo_ordem;ordem;campo_nome;campo_label;tipo;opcoes;inicia_visivel;gatilho_campo;gatilho_valor;placeholder;grupo
LIGAÇÃO NOVA MEDIA TENSÃO;1;ETAPA;ETAPA ORDEM;SELECT;VISTORIA,EXECUÇÃO,VISTORIA + EXECUÇÃO;SIM;-;-;;VISTORIA
LIGAÇÃO NOVA MEDIA TENSÃO;2;OBRA;OBRA;SELECT;OBRA CONCLUIDA,OBRA NÃO CONCLUIDA;NÃO;ETAPA;VISTORIA,VISTORIA + EXECUÇÃO;;VISTORIA
LIGAÇÃO NOVA MEDIA TENSÃO;3;TIPO_MEDIÇÃO;TIPO DE MEDIÇÃO;SELECT;ACOPLADA,EM CUBICULO BLINDADO,EM CUBICULO DE ALVENARIA,SEMI-DIRETA, DIRETA;NÃO;ETAPA;VISTORIA,VISTORIA + EXECUÇÃO;;VISTORIA
LIGAÇÃO NOVA MEDIA TENSÃO;4;MEDICAO_LOCAL;MEDIÇÃO JÁ ESTA NO LOCAL?;SELECT;JÁ ESTÁ NO LOCAL,AINDA NÃO ESTÁ NO LOCAL;NÃO;ETAPA;VISTORIA,VISTORIA + EXECUÇÃO;;VISTORIA
LIGAÇÃO NOVA MEDIA TENSÃO;5;PONTO_ENTREGA;PONTO DE ENTREGA;SELECT;;NÃO;ETAPA;VISTORIA,VISTORIA + EXECUÇÃO;;
LIGAÇÃO NOVA MEDIA TENSÃO;6;TOMBAMENTO;TOMBAMENTO;TEXTAREA;;NÃO;ETAPA;VISTORIA,VISTORIA + EXECUÇÃO;;
LIGAÇÃO NOVA MEDIA TENSÃO;7;MEDIDOR_BT;QUANTIDADE MEDIDOR BT;NUMBER;;NÃO;ETAPA;VISTORIA,VISTORIA + EXECUÇÃO;;
LIGAÇÃO NOVA MEDIA TENSÃO;8;;;;;;;;;
LIGAÇÃO NOVA MEDIA TENSÃO;9;;;;;;;;;
LIGAÇÃO NOVA MEDIA TENSÃO;10;;;;;;;;;
LIGAÇÃO NOVA MEDIA TENSÃO;11;;;;;;;;;
LIGAÇÃO NOVA MEDIA TENSÃO;12;;;;;;;;;
LIGAÇÃO NOVA MEDIA TENSÃO;12;;;;;;;;;
;;;;;;;;;;
;;motivo_visita;Motivo da visita;select;Verificacao,Troca,Instalacao;sim;;;Selecione o motivo;Dados iniciais
;;tipo_servico;Tipo de servico;select;Eletronico,Mecanico;sim;motivo_visita;Troca;Selecione;Dados iniciais
;;tensao;Tensao (V);number;;nao;tipo_servico;Eletronico;;Medicoes
;;corrente;Corrente (A);number;;nao;tipo_servico;Eletronico;;Medicoes
;;laudo;Laudo tecnico;textarea;;sim;;;Descreva o servico realizado;Finalizacao
